# NDIV =     2000 dE=      0.01500750
#    energy (ev)           dos 
    -17.04352176       0.32302492
    -17.02851426       0.32308527
    -17.01350675       0.32315092
    -16.99849925       0.32321308
    -16.98349175       0.32326353
    -16.96848424       0.32329949
    -16.95347674       0.32332565
    -16.93846923       0.32335210
    -16.92346173       0.32338905
    -16.90845423       0.32344104
    -16.89344672       0.32350402
    -16.87843922       0.32356693
    -16.86343172       0.32361741
    -16.84842421       0.32364848
    -16.83341671       0.32366283
    -16.81840920       0.32367203
    -16.80340170       0.32369089
    -16.78839420       0.32372973
    -16.77338669       0.32378855
    -16.75837919       0.32385632
    -16.74337169       0.32391614
    -16.72836418       0.32395374
    -16.71335668       0.32396518
    -16.69834917       0.32395955
    -16.68334167       0.32395512
    -16.66833417       0.32397053
    -16.65332666       0.32401523
    -16.63831916       0.32408416
    -16.62331166       0.32415944
    -16.60830415       0.32421860
    -16.59329665       0.32424566
    -16.57828914       0.32423940
    -16.56328164       0.32421491
    -16.54827414       0.32419702
    -16.53326663       0.32420873
    -16.51825913       0.32425986
    -16.50325163       0.32434159
    -16.48824412       0.32442971
    -16.47323662       0.32449547
    -16.45822911       0.32451908
    -16.44322161       0.32449956
    -16.42821411       0.32445626
    -16.41320660       0.32442073
    -16.39819910       0.32442263
    -16.38319160       0.32447580
    -16.36818409       0.32457113
    -16.35317659       0.32467960
    -16.33816908       0.32476471
    -16.32316158       0.32479875
    -16.30815408       0.32477584
    -16.29314657       0.32471559
    -16.27813907       0.32465547
    -16.26313157       0.32463486
    -16.24812406       0.32467760
    -16.23311656       0.32478079
    -16.21810905       0.32491489
    -16.20310155       0.32503557
    -16.18809405       0.32510242
    -16.17308654       0.32509673
    -16.15807904       0.32503050
    -16.14307154       0.32494251
    -16.12806403       0.32488283
    -16.11305653       0.32489192
    -16.09804902       0.32498309
    -16.08304152       0.32513582
    -16.06803402       0.32530309
    -16.05302651       0.32543007
    -16.03801901       0.32547670
    -16.02301151       0.32543483
    -16.00800400       0.32533284
    -15.99299650       0.32522530
    -15.97798899       0.32517158
    -15.96298149       0.32521187
    -15.94797399       0.32535020
    -15.93296648       0.32555157
    -15.91795898       0.32575469
    -15.90295148       0.32589563
    -15.88794397       0.32593325
    -15.87293647       0.32586626
    -15.85792896       0.32573510
    -15.84292146       0.32560739
    -15.82791396       0.32555231
    -15.81290645       0.32561372
    -15.79789895       0.32579231
    -15.78289145       0.32604400
    -15.76788394       0.32629557
    -15.75287644       0.32647187
    -15.73786893       0.32652449
    -15.72286143       0.32645099
    -15.70785393       0.32629724
    -15.69284642       0.32614146
    -15.67783892       0.32606583
    -15.66283142       0.32612584
    -15.64782391       0.32632887
    -15.63281641       0.32663016
    -15.61780890       0.32694794
    -15.60280140       0.32719252
    -15.58779390       0.32729906
    -15.57278639       0.32725190
    -15.55777889       0.32709161
    -15.54277139       0.32690181
    -15.52776388       0.32678002
    -15.51275638       0.32680299
