#        k-dist (A^-1)        Berrycurvature (A-1):       1 -th eigen   
#                                      Energy(eV)     Omega(x)     Omega(y)     Omega(z)       kpoint (reciprocal unit)
     0.897401                         -0.1267E+02  -0.9841E-15   0.1896E-14  -0.7630E+00       0.2735      0.5470      0.0000
     0.931266                         -0.1268E+02   0.1848E-13  -0.9018E-14  -0.6896E+00       0.2650      0.5299      0.0000
     0.965130                         -0.1269E+02  -0.9044E-14   0.6089E-14  -0.6169E+00       0.2564      0.5128      0.0000
     0.998994                         -0.1269E+02  -0.5502E-14   0.5333E-14  -0.5463E+00       0.2479      0.4957      0.0000
     1.032858                         -0.1269E+02  -0.5753E-14   0.5512E-14  -0.4792E+00       0.2393      0.4786      0.0000
     1.066722                         -0.1269E+02  -0.1077E-13   0.7584E-14  -0.4164E+00       0.2308      0.4615      0.0000
     1.100587                         -0.1269E+02   0.1583E-13  -0.9461E-14  -0.3584E+00       0.2222      0.4444      0.0000
     1.134451                         -0.1269E+02  -0.2301E-13   0.1668E-13  -0.3058E+00       0.2137      0.4274      0.0000
     1.168315                         -0.1270E+02   0.5005E-13  -0.3136E-13  -0.2587E+00       0.2051      0.4103      0.0000
     1.202179                         -0.1270E+02   0.1602E-13  -0.8615E-14  -0.2180E+00       0.1966      0.3932      0.0000
     1.236044                         -0.1271E+02  -0.1114E-12   0.6548E-13  -0.1860E+00       0.1880      0.3761      0.0000
     1.269908                         -0.1272E+02  -0.5059E-14   0.1562E-13  -0.1774E+00       0.1795      0.3590      0.0000
     1.303772                         -0.1273E+02   0.3576E-12  -0.1947E-12  -0.4448E+00       0.1709      0.3419      0.0000
     1.337636                         -0.1277E+02   0.3561E-10  -0.2050E-10  -0.2949E+02       0.1624      0.3248      0.0000
     1.371500                         -0.1291E+02  -0.2788E-11   0.1602E-11  -0.9919E-01       0.1538      0.3077      0.0000
     1.405365                         -0.1306E+02   0.8169E-14  -0.5142E-14  -0.2892E-02       0.1453      0.2906      0.0000
     1.439229                         -0.1320E+02  -0.1811E-12   0.1121E-12   0.9442E-02       0.1368      0.2735      0.0000
