# NDIV =     2000 dE=      0.01500750
#    energy (ev)           dos 
    -17.04352176       0.32302480
    -17.02851426       0.32308512
    -17.01350675       0.32315076
    -16.99849925       0.32321291
    -16.98349175       0.32326336
    -16.96848424       0.32329933
    -16.95347674       0.32332551
    -16.93846923       0.32335201
    -16.92346173       0.32338900
    -16.90845423       0.32344104
    -16.89344672       0.32350405
    -16.87843922       0.32356700
    -16.86343172       0.32361751
    -16.84842421       0.32364860
    -16.83341671       0.32366296
    -16.81840920       0.32367216
    -16.80340170       0.32369101
    -16.78839420       0.32372984
    -16.77338669       0.32378865
    -16.75837919       0.32385641
    -16.74337169       0.32391622
    -16.72836418       0.32395382
    -16.71335668       0.32396525
    -16.69834917       0.32395962
    -16.68334167       0.32395519
    -16.66833417       0.32397059
    -16.65332666       0.32401529
    -16.63831916       0.32408421
    -16.62331166       0.32415948
    -16.60830415       0.32421863
    -16.59329665       0.32424566
    -16.57828914       0.32423939
    -16.56328164       0.32421487
    -16.54827414       0.32419697
    -16.53326663       0.32420866
    -16.51825913       0.32425978
    -16.50325163       0.32434149
    -16.48824412       0.32442962
    -16.47323662       0.32449539
    -16.45822911       0.32451900
    -16.44322161       0.32449950
    -16.42821411       0.32445621
    -16.41320660       0.32442069
    -16.39819910       0.32442260
    -16.38319160       0.32447579
    -16.36818409       0.32457113
    -16.35317659       0.32467962
    -16.33816908       0.32476474
    -16.32316158       0.32479881
    -16.30815408       0.32477593
    -16.29314657       0.32471571
    -16.27813907       0.32465563
    -16.26313157       0.32463505
    -16.24812406       0.32467782
    -16.23311656       0.32478103
    -16.21810905       0.32491515
    -16.20310155       0.32503583
    -16.18809405       0.32510266
    -16.17308654       0.32509695
    -16.15807904       0.32503069
    -16.14307154       0.32494265
    -16.12806403       0.32488292
    -16.11305653       0.32489196
    -16.09804902       0.32498309
    -16.08304152       0.32513579
    -16.06803402       0.32530305
    -16.05302651       0.32543004
    -16.03801901       0.32547668
    -16.02301151       0.32543483
    -16.00800400       0.32533288
    -15.99299650       0.32522536
    -15.97798899       0.32517167
    -15.96298149       0.32521197
    -15.94797399       0.32535031
    -15.93296648       0.32555168
    -15.91795898       0.32575479
    -15.90295148       0.32589571
    -15.88794397       0.32593329
    -15.87293647       0.32586628
    -15.85792896       0.32573509
    -15.84292146       0.32560735
    -15.82791396       0.32555225
    -15.81290645       0.32561363
    -15.79789895       0.32579219
    -15.78289145       0.32604385
    -15.76788394       0.32629541
    -15.75287644       0.32647169
    -15.73786893       0.32652430
    -15.72286143       0.32645080
    -15.70785393       0.32629705
    -15.69284642       0.32614128
    -15.67783892       0.32606566
    -15.66283142       0.32612567
    -15.64782391       0.32632871
    -15.63281641       0.32663001
    -15.61780890       0.32694779
    -15.60280140       0.32719238
    -15.58779390       0.32729893
    -15.57278639       0.32725178
    -15.55777889       0.32709152
    -15.54277139       0.32690174
    -15.52776388       0.32677998
    -15.51275638       0.32680299
    -15.49774887       0.32699872
    -15.48274137       0.32733511
    -15.46773387       0.32773012
    -15.45272636       0.32807959
    -15.43771886       0.32829349
    -15.42271136       0.32832802
    -15.40770385       0.32820201
    -15.39269635       0.32799185
    -15.37768884       0.32780629
    -15.36268134       0.32774952
    -15.34767384       0.32788512
    -15.33266633       0.32821329
    -15.31765883       0.32866938
    -15.30265133       0.32914464
    -15.28764382       0.32952229
    -15.27263632       0.32971713
    -15.25762881       0.32970499
    -15.24262131       0.32953224
    -15.22761381       0.32930168
    -15.21260630       0.32913929
    -15.19759880       0.32915279
    -15.18259130       0.32939550
    -15.16758379       0.32984769
    -15.15257629       0.33042171
    -15.13756878       0.33098954
    -15.12256128       0.33142407
    -15.10755378       0.33164073
    -15.09254627       0.33162593
    -15.07753877       0.33144293
    -15.06253127       0.33121279
    -15.04752376       0.33107644
    -15.03251626       0.33114973
    -15.01750875       0.33148586
    -15.00250125       0.33205744
    -14.98749375       0.33276390
    -14.97248624       0.33346233
    -14.95747874       0.33401211
    -14.94247124       0.33431942
    -14.92746373       0.33436765
    -14.91245623       0.33422404
    -14.89744872       0.33402016
    -14.88244122       0.33391202
    -14.86743372       0.33403211
    -14.85242621       0.33444798
    -14.83741871       0.33514051
    -14.82241121       0.33600856
    -14.80740370       0.33689908
    -14.79239620       0.33765350
    -14.77738869       0.33815636
    -14.76238119       0.33837139
    -14.74737369       0.33835387
    -14.73236618       0.33823547
    -14.71735868       0.33818572
    -14.70235118       0.33836178
    -14.68734367       0.33886129
    -14.67233617       0.33969253
    -14.65732866       0.34077107
    -14.64232116       0.34194404
    -14.62731366       0.34303517
    -14.61230615       0.34389735
    -14.59729865       0.34445714
    -14.58229115       0.34473805
    -14.56728364       0.34485541
    -14.55227614       0.34498431
    -14.53726863       0.34530960
    -14.52226113       0.34597277
    -14.50725363       0.34703092
    -14.49224612       0.34844016
    -14.47723862       0.35006817
    -14.46223112       0.35173274
    -14.44722361       0.35325534
    -14.43221611       0.35451433
    -14.41720860       0.35548254
    -14.40220110       0.35623839
    -14.38719360       0.35694711
    -14.37218609       0.35781731
    -14.35717859       0.35904539
    -14.34217109       0.36076359
    -14.32716358       0.36300675
    -14.31215608       0.36570771
    -14.29714857       0.36872296
    -14.28214107       0.37188179
    -14.26713357       0.37504543
    -14.25212606       0.37815933
    -14.23711856       0.38128349
    -14.22211106       0.38459114
    -14.20710355       0.38833422
    -14.19209605       0.39278270
    -14.17708854       0.39815170
    -14.16208104       0.40453322
    -14.14707354       0.41184856
    -14.13206603       0.41983251
    -14.11705853       0.42805307
    -14.10205103       0.43596249
    -14.08704352       0.44296878
    -14.07203602       0.44851309
    -14.05702851       0.45213757
    -14.04202101       0.45353192
    -14.02701351       0.45255176
    -14.01200600       0.44920910
    -13.99699850       0.44364130
    -13.98199100       0.43606905
    -13.96698349       0.42675560
    -13.95197599       0.41597726
    -13.93696848       0.40401057
    -13.92196098       0.39113534
    -13.90695348       0.37764719
    -13.89194597       0.36386953
    -13.87693847       0.35015489
    -13.86193097       0.33686899
    -13.84692346       0.32435709
    -13.83191596       0.31289880
    -13.81690845       0.30266316
    -13.80190095       0.29367728
    -13.78689345       0.28582017
    -13.77188594       0.27884673
    -13.75687844       0.27243939
    -13.74187094       0.26627644
    -13.72686343       0.26010131
    -13.71185593       0.25377572
    -13.69684842       0.24730327
    -13.68184092       0.24081754
    -13.66683342       0.23453722
    -13.65182591       0.22869967
    -13.63681841       0.22348950
    -13.62181091       0.21898061
    -13.60680340       0.21510714
    -13.59179590       0.21167208
    -13.57678839       0.20839294
    -13.56178089       0.20497387
    -13.54677339       0.20118577
    -13.53176588       0.19693194
    -13.51675838       0.19227930
    -13.50175088       0.18744350
    -13.48674337       0.18272924
    -13.47173587       0.17844117
    -13.45672836       0.17479089
    -13.44172086       0.17182891
    -13.42671336       0.16942391
    -13.41170585       0.16729777
    -13.39669835       0.16510725
    -13.38169085       0.16254755
    -13.36668334       0.15944532
    -13.35167584       0.15581169
    -13.33666833       0.15183843
    -13.32166083       0.14783906
    -13.30665333       0.14415460
    -13.29164582       0.14105521
    -13.27663832       0.13867006
    -13.26163082       0.13696806
    -13.24662331       0.13579569
    -13.23161581       0.13495948
    -13.21660830       0.13432654
    -13.20160080       0.13391107
    -13.18659330       0.13391898
    -13.17158579       0.13473563
    -13.15657829       0.13685826
    -13.14157079       0.14079057
    -13.12656328       0.14692700
    -13.11155578       0.15545632
    -13.09654827       0.16630795
    -13.08154077       0.17915261
    -13.06653327       0.19345414
    -13.05152576       0.20855720
    -13.03651826       0.22378807
    -13.02151076       0.23854478
    -13.00650325       0.25235863
    -12.99149575       0.26491858
    -12.97648824       0.27606103
    -12.96148074       0.28573589
    -12.94647324       0.29396451
    -12.93146573       0.30080367
    -12.91645823       0.30632501
    -12.90145073       0.31061176
    -12.88644322       0.31376763
    -12.87143572       0.31592887
    -12.85642821       0.31727003
    -12.84142071       0.31799735
    -12.82641321       0.31832934
    -12.81140570       0.31846910
    -12.79639820       0.31857678
    -12.78139070       0.31875065
    -12.76638319       0.31902248
    -12.75137569       0.31936846
    -12.73636818       0.31973174
    -12.72136068       0.32004954
    -12.70635318       0.32027680
    -12.69134567       0.32039995
    -12.67633817       0.32043830
    -12.66133067       0.32043423
    -12.64632316       0.32043695
    -12.63131566       0.32048602
    -12.61630815       0.32060021
    -12.60130065       0.32077476
    -12.58629315       0.32098722
    -12.57128564       0.32120876
    -12.55627814       0.32141653
    -12.54127064       0.32160278
    -12.52626313       0.32177820
    -12.51125563       0.32196973
    -12.49624812       0.32221492
    -12.48124062       0.32255634
    -12.46623312       0.32303829
    -12.45122561       0.32370699
    -12.43621811       0.32461321
    -12.42121061       0.32581543
    -12.40620310       0.32738156
    -12.39119560       0.32938836
    -12.37618809       0.33191859
    -12.36118059       0.33505644
    -12.34617309       0.33888204
    -12.33116558       0.34346472
    -12.31615808       0.34885484
    -12.30115058       0.35507373
    -12.28614307       0.36210217
    -12.27113557       0.36986870
    -12.25612806       0.37824005
    -12.24112056       0.38701597
    -12.22611306       0.39593099
    -12.21110555       0.40466442
    -12.19609805       0.41285933
    -12.18109055       0.42014980
    -12.16608304       0.42619397
    -12.15107554       0.43070924
    -12.13606803       0.43350417
    -12.12106053       0.43450152
    -12.10605303       0.43374740
    -12.09104552       0.43140414
    -12.07603802       0.42772744
    -12.06103052       0.42303205
    -12.04602301       0.41765259
    -12.03101551       0.41190692
    -12.01600800       0.40606822
    -12.00100050       0.40034910
    -11.98599300       0.39489783
    -11.97098549       0.38980392
    -11.95597799       0.38510892
    -11.94097049       0.38081862
    -11.92596298       0.37691397
    -11.91095548       0.37336001
    -11.89594797       0.37011311
    -11.88094047       0.36712710
    -11.86593297       0.36435862
    -11.85092546       0.36177114
    -11.83591796       0.35933686
    -11.82091046       0.35703620
    -11.80590295       0.35485510
    -11.79089545       0.35278169
    -11.77588794       0.35080369
    -11.76088044       0.34890775
    -11.74587294       0.34708081
    -11.73086543       0.34531239
    -11.71585793       0.34359630
    -11.70085043       0.34193063
    -11.68584292       0.34031594
    -11.67083542       0.33875241
    -11.65582791       0.33723753
    -11.64082041       0.33576559
    -11.62581291       0.33432907
    -11.61080540       0.33292123
    -11.59579790       0.33153840
    -11.58079040       0.33018068
    -11.56578289       0.32885080
    -11.55077539       0.32755161
    -11.53576788       0.32628375
    -11.52076038       0.32504463
    -11.50575288       0.32382929
    -11.49074537       0.32263241
    -11.47573787       0.32145057
    -11.46073037       0.32028330
    -11.44572286       0.31913257
    -11.43071536       0.31800111
    -11.41570785       0.31689046
    -11.40070035       0.31580002
    -11.38569285       0.31472724
    -11.37068534       0.31366898
    -11.35567784       0.31262290
    -11.34067034       0.31158825
    -11.32566283       0.31056556
    -11.31065533       0.30955565
    -11.29564782       0.30855871
    -11.28064032       0.30757399
    -11.26563282       0.30660041
    -11.25062531       0.30563747
    -11.23561781       0.30468578
    -11.22061031       0.30374667
    -11.20560280       0.30282102
    -11.19059530       0.30190792
    -11.17558779       0.30100437
    -11.16058029       0.30010626
    -11.14557279       0.29921050
    -11.13056528       0.29831716
    -11.11555778       0.29743011
    -11.10055028       0.29655557
    -11.08554277       0.29569893
    -11.07053527       0.29486142
    -11.05552776       0.29403847
    -11.04052026       0.29322104
    -11.02551276       0.29239963
    -11.01050525       0.29156917
    -10.99549775       0.29073227
    -10.98049025       0.28989890
    -10.96548274       0.28908211
    -10.95047524       0.28829167
    -10.93546773       0.28752864
    -10.92046023       0.28678379
    -10.90545273       0.28604112
    -10.89044522       0.28528532
    -10.87543772       0.28450985
    -10.86043022       0.28372177
    -10.84542271       0.28294089
    -10.83041521       0.28219348
    -10.81540770       0.28150383
    -10.80040020       0.28088818
    -10.78539270       0.28035509
    -10.77038519       0.27991334
    -10.75537769       0.27958464
    -10.74037019       0.27941599
    -10.72536268       0.27948541
    -10.71035518       0.27989739
    -10.69534767       0.28076817
    -10.68034017       0.28220468
    -10.66533267       0.28428370
    -10.65032516       0.28703716
    -10.63531766       0.29044695
    -10.62031016       0.29444872
    -10.60530265       0.29894149
    -10.59029515       0.30379848
    -10.57528764       0.30887586
    -10.56028014       0.31401901
    -10.54527264       0.31906776
    -10.53026513       0.32386387
    -10.51525763       0.32826245
    -10.50025013       0.33214674
    -10.48524262       0.33544304
    -10.47023512       0.33813068
    -10.45522761       0.34024283
    -10.44022011       0.34185677
    -10.42521261       0.34307552
    -10.41020510       0.34400641
    -10.39519760       0.34474240
    -10.38019010       0.34535110
    -10.36518259       0.34587297
    -10.35017509       0.34632685
    -10.33516758       0.34671902
    -10.32016008       0.34705176
    -10.30515258       0.34732908
    -10.29014507       0.34755931
    -10.27513757       0.34775577
    -10.26013007       0.34793649
    -10.24512256       0.34812345
    -10.23011506       0.34834038
    -10.21510755       0.34860811
    -10.20010005       0.34893791
    -10.18509255       0.34932464
