 0    883.257969066 
 1    883.257969065 
 2    883.257969065 
 3    883.257969065 
 4    883.257969065 
 5    883.257969065 
 6    883.257969065 
 7    883.257969065 
 8    883.257969065 
 9    883.257969065 
 10    883.257969065 
 11    883.257969065 
 12    883.257969065 
 13    883.257969065 
 14    883.257969065 
 15    883.257969065 
 16    883.257969065 
 17    883.257969065 
 18    883.257969065 
 19    883.257969065 
 20    883.257969065 
 21    883.257969065 
 22    883.257969065 
 23    883.257969065 
 24    883.257969065 
 25    883.257969065 
 26    883.257969065 
 27    883.257969065 
 28    883.257969065 
 29    883.257969065 
